dataset_id,contrast,program_id,lineage,score_method,n_control,n_case,unadjusted_standardized_beta,unadjusted_hc3_low,unadjusted_hc3_high,unadjusted_p,adjusted_standardized_beta,adjusted_hc3_low,adjusted_hc3_high,adjusted_p,sign_retained,magnitude_retention_ratio,adjusted_fdr_within_context_method
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,standardized_mean,6,4,0.061501531501254036,-1.2845853673594907,1.4075884303619985,0.9286442757952138,-0.19063970814496947,-1.7656455001665783,1.3843660838766392,0.812470875398674,False,3.0997554612291607,0.9547395801308934
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,singscore,6,4,0.763621803387684,-0.5135676448183857,2.0408112515937535,0.24124965067927306,0.39771513127193153,-0.9983000076446806,1.7937302701885438,0.5765777263015427,True,0.5208273644198385,0.7345586786177996
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,standardized_mean,6,4,0.782848182880268,-0.5980554165363474,2.1637517822968837,0.2665064679903917,0.2795195331363276,-1.0168219054834544,1.5758609717561096,0.6725733955739981,True,0.35705458510220295,0.9418995025055278
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,singscore,6,4,0.7511392808152707,-0.4922374825000132,1.9945160441305547,0.2363892171363503,0.45994915221821236,-0.6332747021051848,1.5531730065416096,0.4095842027740578,True,0.6123353736992603,0.7074636229733726
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,standardized_mean,6,4,0.7464207500857494,-0.487546387135684,1.9803878873071827,0.23578246920954193,0.4084728994675985,-1.0459569900372745,1.8629027889724716,0.5820032422783277,True,0.5472421545363964,0.9215051336073521
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,singscore,6,4,1.2122904246243131,0.11666498957127458,2.307915859677352,0.03010502700515853,0.8888175344410704,-0.33247048821480674,2.1101055570969476,0.15374414270412068,True,0.7331721148556573,0.4182417917283404
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,standardized_mean,6,4,1.2156965656760623,-0.1836697235702418,2.6150628549223667,0.0886156234417819,0.7107430409861545,-0.6269774260227828,2.0484635079950917,0.2977058032505473,True,0.5846385200495342,0.7070512827200498
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,singscore,6,4,1.0487348001813417,-0.07863776313046222,2.176107363493146,0.06826040826013308,0.612111974274267,-0.5330485037628857,1.7572724523114198,0.29479502409734515,True,0.5836670759551641,0.5726693688005535
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,standardized_mean,6,4,0.6932864958955488,-0.510453028143414,1.8970260199345117,0.25896105646068157,0.5037161566983668,-1.1819099043795307,2.1893422177762645,0.5580721565924267,True,0.7265627697647483,0.9215051336073521
GSE256398,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_1,endothelial,singscore,6,4,-1.4141640053245301,-2.7070953823378483,-0.12123262831121173,0.0320504551551457,-1.0318929513928965,-1.8415342032135595,-0.22225169957223345,0.012488473321241344,True,0.7296840730690866,0.07909366436786185
GSE256398,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_1,endothelial,standardized_mean,6,4,-1.7080183821719044,-2.6023299690466506,-0.8137067952971583,0.00018158726334513518,-1.4466529716696557,-2.0787801567959536,-0.8145257865433576,7.2725155639285294e-06,True,0.8469774018650208,0.00013817779571464206
GSE256398,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_2,endothelial,singscore,6,4,1.570321920536165,0.6967792395522265,2.4438646015201035,0.0004260649854018941,1.7694134194005022,0.8602332453975456,2.678593593403459,0.00013646955542138145,True,1.126783875497554,0.0025929215530062478
GSE256398,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_2,endothelial,standardized_mean,6,4,1.6480981771043566,0.8994913500645773,2.396705004144136,1.5957012350823553e-05,1.8315867434285042,0.6540921949110525,3.009081291945956,0.002297803519984414,True,1.111333516942862,0.014552755626567956
GSE256398,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_3,endothelial,singscore,6,4,-0.32409271988883775,-2.1281804413052567,1.4799950015275813,0.72476225235051,0.11553282316886442,-1.5170469769006107,1.7481126232383395,0.8896845485086321,False,0.3564807725656152,0.9689666929283758
GSE256398,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_3,endothelial,standardized_mean,6,4,-0.7734367340594653,-2.3308110114124574,0.7839375432935268,0.3303584061798066,-0.45740329277090297,-2.1987933861019973,1.2839868005601915,0.6066755952183356,True,0.5913907015641382,0.789242471470203
GSE256398,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_4,endothelial,singscore,6,4,-1.016194675806517,-2.6123706469090693,0.5799812952960353,0.21209669258829067,-0.5349199174407866,-1.5278756978444852,0.458035862962912,0.2910226335899925,True,0.5263951191401786,0.6143811153566507
GSE256398,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_4,endothelial,standardized_mean,6,4,-1.048634434109785,-2.6311305679963093,0.5338616997767394,0.19401745272557824,-0.5617194851718346,-1.2667919709694044,0.14335300062573542,0.118405989576698,True,0.5356675948264982,0.26196637907557174
GSE256398,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_5,endothelial,singscore,6,4,0.1734728787810537,-1.5163048271278865,1.863250584689994,0.8405312860866884,0.7253897633115132,-0.3285934639536745,1.7793729905767008,0.177355080266686,True,4.181574482470274,0.481392360723862
