dataset_id,adjustment,score_method,program_left,lineage_left,program_right,lineage_right,n_donors,spearman_rho,permutation_p_two_sided,fdr_within_dataset_method_adjustment
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_7_SAENDO2,endothelial,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,18,0.4406604747162023,0.0694930506949305,0.39996000399959997
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_7_SAENDO2,endothelial,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,18,0.3353973168214654,0.17018298170182983,0.5471452854714529
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_7_SAENDO2,endothelial,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,18,0.007223942208462332,0.9784021597840216,0.994985247237988
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_7_SAENDO2,endothelial,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,18,0.04850361197110423,0.8538146185381462,0.9392574256087904
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_7_SAENDO2,endothelial,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,18,0.32507739938080493,0.18748125187481252,0.5471452854714529
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,17,0.4068627450980392,0.10928907109289071,0.48572920485729204
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,17,0.2573529411764706,0.32296770322967705,0.6751705781802771
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,17,0.25000000000000006,0.33696630336966304,0.6751705781802771
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,17,-0.10294117647058824,0.7021297870212979,0.858580808585808
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,17,0.11519607843137256,0.6643335666433356,0.8407909209079092
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,17,0.5294117647058825,0.0282971702829717,0.321967803219678
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,17,0.014705882352941176,0.956004399560044,0.984106717533375
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,17,0.6151960784313726,0.009999000099990002,0.321967803219678
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,17,0.35294117647058826,0.16648335166483352,0.5471452854714529
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,17,0.18872549019607845,0.4664533546645335,0.7454444428974825
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,17,0.17401960784313728,0.5036496350364964,0.7554744525547445
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,17,0.5073529411764706,0.0433956604339566,0.321967803219678
