dataset_id,contrast,lineage,program_id,score_method,analysis_tier,cell_gate,real_hedges_g,genes_dropped,loo_g_min,loo_g_median,loo_g_max,loo_positive_fraction,real_expected_direction,all_loo_expected_direction,sign_stable_vs_real
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_2,standardized_mean,sensitivity,20,3.627460595858405,43,3.2147346579994833,3.6077838692489514,4.011445599768163,1.0,True,True,True
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_3,singscore,sensitivity,20,1.6310308826785764,37,1.2213593561143679,1.6320329604530366,2.020364691743477,1.0,True,True,True
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_3,standardized_mean,sensitivity,20,-0.4118000950347542,37,-0.581001236696036,-0.43970771075295795,-0.1819615337597011,0.0,False,False,True
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_4,singscore,sensitivity,20,0.9706561520102596,85,0.872443459339823,0.9702762585092137,1.0904247855571054,1.0,True,True,True
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_4,standardized_mean,sensitivity,20,0.3427464149554757,85,0.28137625310224107,0.33707881578496085,0.40117799125479847,1.0,True,True,True
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_5,singscore,sensitivity,20,0.9132750085770276,48,0.7475745038795045,0.9113668576051945,1.2016644810278305,1.0,True,True,True
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_5,standardized_mean,sensitivity,20,0.8793725269364241,48,0.737451672003349,0.8843453885714099,1.012604537843735,1.0,True,True,True
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,sensitivity,20,3.044262412816208,12,2.1561481576340475,3.044928101408912,3.608348014152411,1.0,True,True,True
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,sensitivity,20,2.697321120825605,12,2.3005813864999247,2.629879014798716,3.0615732654418863,1.0,True,True,True
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,sensitivity,20,1.0745242636981105,62,0.9232281645437113,1.0734871570485307,1.257808323133888,1.0,True,True,True
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,sensitivity,20,1.010708918196248,62,0.8937335244165291,1.012811789764207,1.1208293527238082,1.0,True,True,True
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,sensitivity,20,1.518891018678525,574,1.4575203533453776,1.5189131402844342,1.5729879391617825,1.0,True,True,True
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,sensitivity,20,0.2145268216786603,574,0.18527853095213898,0.21467418550987138,0.24307644834645134,1.0,True,True,True
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,sensitivity,20,2.578189761353315,313,2.463429909157253,2.5787455379858484,2.73314540800636,1.0,True,True,True
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,sensitivity,20,1.108693531172946,313,1.0533549611241144,1.1077756944014836,1.1732574599334964,1.0,True,True,True
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,sensitivity,20,-0.670168087027942,261,-0.7732084862638691,-0.66783784314226,-0.6186414507443678,0.0,False,False,True
