dataset_id,contrast,lineage,source_state,program_id,score_method,cell_gate,analysis_tier,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,effect_status
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_5,standardized_mean,30,primary,3,6,-0.049318643670280306,0.08947809129420885,0.13879673496448916,0.28856548096996926,0.42754550928712737,0.9918631755823217,-1.516506314854223,2.3715973334284777,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_5,standardized_mean,20,sensitivity,3,7,-0.049318643670280306,-0.012888489138693709,0.0364301545315866,0.3575969733533996,0.09201603525159245,0.8507894980981839,-1.575531381020848,1.7595634515240328,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_6_SAENDO1,singscore,30,primary,3,6,0.40766044660225925,0.4839415469242967,0.07628110032203744,0.08749982862651907,0.7749206321065587,0.6012383313270302,-0.40350649729442045,1.9533477615075379,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_6_SAENDO1,singscore,20,sensitivity,3,7,0.40766044660225925,0.48726766710803776,0.07960722050577851,0.08220263776007468,0.8747078913765243,0.5957525253627295,-0.2929670583344255,2.0423828410874743,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_6_SAENDO1,standardized_mean,30,primary,3,6,-0.21941439754075054,-0.14440355943128969,0.07501083810946085,0.447559587514333,0.14897748233269092,0.8366274115197799,-1.4908122442460776,1.7887672089114597,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_6_SAENDO1,standardized_mean,20,sensitivity,3,7,-0.21941439754075054,-0.1373689553030476,0.08204544223770294,0.41896382423667033,0.17687818480711268,0.8821415942396751,-1.5521193399026505,1.9058757095168757,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_7_SAENDO2,singscore,30,primary,3,6,0.2551618971070067,0.3520576924150327,0.096895795308026,0.06269988438157081,1.373680297481892,0.5656434006474802,0.26501923221283086,2.482341362750953,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_7_SAENDO2,singscore,20,sensitivity,3,7,0.2551618971070067,0.33103348300253815,0.07587158589553145,0.07589767661949068,0.902915311898438,0.5048790786613061,-0.0866476822777219,1.8924783060745978,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_7_SAENDO2,standardized_mean,30,primary,3,6,-0.2949416801488796,0.03368288270326544,0.32862456285214503,0.24916973286875946,1.17233629932532,0.668888892047137,-0.13868592908706856,2.4833585277377086,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_7_SAENDO2,standardized_mean,20,sensitivity,3,7,-0.2949416801488796,-0.0475826817682373,0.24735899838064232,0.2983225505090601,0.7489243787107993,0.5947196339439424,-0.41672610381932795,1.9145748612409266,ESTIMATED
