dataset_id,trend,lineage,program_id,score_method,n_donors,n_normal,n_masl,n_mash,spearman_rho,permutation_p_two_sided,permutations,theil_sen_slope_per_level,theil_sen_intercept,theil_sen_ci95_low,theil_sen_ci95_high,fdr_within_lineage_method,cohort,fdr,analysis_tier,cell_gate,n_f0,n_fibrosis,n_cirrhosis,permutation_mode,permutation_fdr_within_lineage_method
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,endothelial,RAM2019_ENDO_5,standardized_mean,,,,,0.5634384564871381,0.076017316017316,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.133030303030303,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.133030303030303
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,,,,,0.5778855963970647,0.0682251082251082,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.0955151515151515,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.0955151515151515
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,,,,,0.6164113028235357,0.049004329004329,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.1143434343434343,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.1143434343434343
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,endothelial,RAM2019_ENDO_7_SAENDO2,singscore,,,,,0.2744956582886057,0.409004329004329,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.4771717171717171,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.4771717171717171
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,endothelial,RAM2019_ENDO_7_SAENDO2,standardized_mean,,,,,0.3804413509614009,0.2451948051948052,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.2451948051948052,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.2451948051948052
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,,,,,0.3852570642647098,0.2396536796536796,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.359064935064935,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.359064935064935
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,,,,,0.491202756937505,0.1267532467532467,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.3321212121212121,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.3321212121212121
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,,,,,-0.4237827706911808,0.1937662337662337,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.359064935064935,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.359064935064935
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,,,,,-0.3515470711415477,0.2862337662337662,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.4293506493506493,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.4293506493506493
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,,,,,-0.414151344084563,0.2034632034632034,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.359064935064935,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.359064935064935
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,,,,,-0.4478613372077251,0.166060606060606,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.3321212121212121,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.3321212121212121
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,,,,,0.3419156445349299,0.2992207792207792,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.359064935064935,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.359064935064935
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,,,,,0.1829971055257371,0.5866666666666667,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.704,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.704
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,,,,,0.3515470711415477,0.2862337662337662,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.359064935064935,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.359064935064935
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,,,,,0.5249127500606671,0.0997402597402597,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.3321212121212121,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.3321212121212121
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,,,,,0.0770514128529419,0.8221645021645022,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.8221645021645022,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.8221645021645022
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,,,,,0.0770514128529419,0.8221645021645022,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.8221645021645022,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.8221645021645022
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,,,,,0.1059456926727952,0.756017316017316,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.7560173160173159,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.7560173160173159
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,,,,,-0.6501212959466978,0.036017316017316,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.2161038961038961,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.2161038961038961
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,,,,,0.1155771192794129,0.7321212121212122,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.7560173160173159,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.7560173160173159
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,,,,,0.0674199862463242,0.8457142857142858,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.8457142857142858,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.8457142857142858
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,,,,,0.2889427981985323,0.3851082251082251,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.7083116883116882,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.7083116883116882
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,,,,,0.3515470711415477,0.2862337662337662,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.5724675324675325,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.5724675324675325
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,,,,,0.2407856651654435,0.4722077922077922,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.7083116883116882,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.7083116883116882
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,,,,,0.1252085458860306,0.710995670995671,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.8457142857142858,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.8457142857142858
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,,,,,0.3178370780183856,0.3376623376623376,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.7083116883116882,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.7083116883116882
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,,,,,0.2311542385588259,0.4896969696969697,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.7345454545454545,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.7345454545454545
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,,,,,0.3563627844448565,0.28,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.7083116883116882,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.7083116883116882
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,,,,,0.5393598899705937,0.0907359307359307,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.2722077922077922,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.2722077922077922
