dataset_id,analysis_set,lineage,program_id,score_method,histology_axis,n_donors,n_levels,spearman_rho,permutation_p_two_sided,permutations,fdr_within_set_lineage_method_axis
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,fibrosis,20,5,0.0320818092900915,0.8942105789421058,10000,0.8942105789421056
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,steatosis,18,3,-0.269393754889779,0.2853714628537146,10000,0.8207179282071794
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,ballooning,18,3,-0.0262296491788211,0.9266073392660734,10000,0.9266073392660732
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,inflammation,18,3,-0.4354121763684306,0.0771922807719228,10000,0.2315768423157684
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,fibrosis,20,5,0.2034456198883856,0.3878612138786121,10000,0.4654334566543346
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,steatosis,18,3,-0.3139122143842764,0.1938806119388061,10000,0.6713328667133287
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,ballooning,18,3,-0.0065574122947052,0.9889011098890113,10000,0.9889011098890113
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,inflammation,18,3,-0.3331165445710282,0.1714828517148285,10000,0.4803519648035196
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,fibrosis,24,5,-0.0526914465177424,0.8087191280871913,10000,0.8087191280871912
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,steatosis,22,3,-0.3429453602214146,0.1193880611938806,10000,0.2384761523847615
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,ballooning,22,3,-0.2700437772409515,0.2250774922507749,10000,0.3376162383761624
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,inflammation,22,3,-0.4374334183475498,0.0394960503949605,10000,0.236976302369763
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,fibrosis,24,5,-0.1412272088696653,0.507949205079492,10000,0.507949205079492
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,steatosis,22,3,-0.2515866866992755,0.2611738826117388,10000,0.3257674232576742
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,ballooning,22,3,-0.3445551309782742,0.1237876212378762,10000,0.2686231376862313
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,inflammation,22,3,-0.403924943421481,0.0621937806219378,10000,0.3731626837316268
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,fibrosis,24,5,0.3743641885910176,0.0740925907409259,10000,0.4445555444455554
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,steatosis,22,3,0.3502481324636973,0.1096890310968903,10000,0.2384761523847615
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,ballooning,22,3,0.3577564769927674,0.1034896510348965,10000,0.3104689531046895
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,inflammation,22,3,0.1890712501121826,0.3937606239376062,10000,0.5906409359064093
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,fibrosis,24,5,0.5855324913770887,0.0034996500349965,10000,0.020997900209979
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,steatosis,22,3,0.2879680948249061,0.1956804319568043,10000,0.3257674232576742
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,ballooning,22,3,0.4105618610507405,0.0573942605739426,10000,0.2686231376862313
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,inflammation,22,3,0.1890712501121826,0.4035596440355964,10000,0.6053394660533947
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,fibrosis,24,5,0.2667625056427012,0.2066793320667933,10000,0.6200379962003799
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,steatosis,22,3,0.4112949020304333,0.0554944505549445,10000,0.2384761523847615
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,ballooning,22,3,0.3551162077898688,0.0988901109889011,10000,0.3104689531046895
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,inflammation,22,3,0.2875734048909071,0.1977802219778022,10000,0.3955604439556044
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,fibrosis,24,5,0.3232533891905673,0.1217878212178782,10000,0.1831316868313168
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,steatosis,22,3,0.2472702484470821,0.2714728527147285,10000,0.3257674232576742
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,ballooning,22,3,0.2099014016304429,0.3426657334266573,10000,0.3426657334266573
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,inflammation,22,3,0.275012727435902,0.20997900209979,10000,0.41995800419958
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,fibrosis,24,5,0.0802529218656193,0.7052294770522948,10000,0.8087191280871912
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,steatosis,22,3,0.2312377635103635,0.2975702429757024,10000,0.2975702429757024
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,ballooning,22,3,0.2112215362318922,0.345965403459654,10000,0.4151584841515848
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,inflammation,22,3,0.372853793927521,0.0856914308569143,10000,0.2570742925707429
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,fibrosis,24,5,0.211168302786071,0.3221677832216778,10000,0.3866013398660134
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,steatosis,22,3,0.255903124951469,0.2482751724827517,10000,0.3257674232576742
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,ballooning,22,3,0.2943900161231998,0.1790820917908209,10000,0.2686231376862313
GSE202379,non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,inflammation,22,3,0.3351717615625055,0.1265873412658734,10000,0.3797620237976202
