lineage,gene_symbol,program_recurrence,measured_gse202379,measured_gse244832,gse202379_n_donors,gse202379_detection_rate,gse202379_stage_spearman_rho,gse244832_n_control,gse244832_n_case,gse244832_detection_rate,gse244832_mash_vs_normal_hedges_g,passes_measurement,passes_discovery_effects,stage_effect_percentile,mash_effect_percentile,mean_discovery_effect_percentile
mesenchymal_hsc_myofibroblast,IFITM3,2,True,True,24.0,0.9166666666666666,0.1271321284066381,5.0,9.0,1.0,0.657901140503238,True,True,0.5930232558139535,0.686046511627907,0.6395348837209303
mesenchymal_hsc_myofibroblast,IGFBP2,2,True,True,24.0,0.75,0.3277744172119194,5.0,9.0,1.0,0.2525074158744652,True,True,0.872093023255814,0.4767441860465116,0.6744186046511628
mesenchymal_hsc_myofibroblast,IGFBP3,2,True,True,24.0,1.0,-0.2860411405042746,5.0,9.0,1.0,-0.2327714120635559,True,False,0.0813953488372093,0.1627906976744186,0.1220930232558139
mesenchymal_hsc_myofibroblast,IGFBP4,2,True,True,24.0,1.0,0.3187699857343874,5.0,9.0,1.0,0.0264234413308462,True,False,0.8604651162790697,0.2790697674418604,0.5697674418604651
mesenchymal_hsc_myofibroblast,IGFBP6,3,True,True,24.0,0.25,-0.0789746138187867,5.0,9.0,0.8571428571428571,1.5702244761988842,True,False,0.2558139534883721,0.9534883720930232,0.6046511627906976
mesenchymal_hsc_myofibroblast,IGFBP7,2,True,True,24.0,1.0,-0.3066647964027019,5.0,9.0,1.0,-0.052063611904523,True,False,0.0697674418604651,0.2558139534883721,0.1627906976744186
mesenchymal_hsc_myofibroblast,LTBP4,2,True,True,24.0,1.0,0.0569392238934841,5.0,9.0,1.0,1.0257774281789225,True,False,0.4767441860465116,0.8604651162790697,0.6686046511627907
mesenchymal_hsc_myofibroblast,LXN,3,True,True,24.0,0.8333333333333334,0.1907355709412279,5.0,9.0,1.0,0.7656842816049073,True,True,0.627906976744186,0.7325581395348837,0.6802325581395349
mesenchymal_hsc_myofibroblast,LY6E,2,True,True,24.0,0.8333333333333334,0.0415619324194666,5.0,9.0,1.0,0.9314366329722472,True,False,0.4418604651162791,0.8023255813953488,0.622093023255814
mesenchymal_hsc_myofibroblast,MARCKS,2,True,True,24.0,1.0,0.0094151472579776,5.0,9.0,1.0,1.084907617793488,True,False,0.3720930232558139,0.872093023255814,0.622093023255814
mesenchymal_hsc_myofibroblast,MDK,2,True,True,24.0,0.3333333333333333,0.2903446188875111,5.0,9.0,0.5714285714285714,2.2204621486567544,True,True,0.813953488372093,1.0,0.9069767441860466
mesenchymal_hsc_myofibroblast,MGP,2,True,True,24.0,0.375,0.265978674730786,5.0,9.0,0.9285714285714286,1.0902898399948249,True,True,0.7674418604651163,0.8837209302325582,0.8255813953488372
mesenchymal_hsc_myofibroblast,MMP2,2,True,True,24.0,0.8333333333333334,0.1909602300353872,5.0,9.0,1.0,0.9387286937395368,True,True,0.6395348837209303,0.813953488372093,0.7267441860465116
mesenchymal_hsc_myofibroblast,MMP23B,3,True,True,24.0,0.9166666666666666,-0.0408078436860813,5.0,9.0,1.0,0.2812968823968271,True,False,0.3023255813953488,0.5232558139534884,0.4127906976744186
mesenchymal_hsc_myofibroblast,MYL9,2,True,True,24.0,1.0,-0.3990229076000068,5.0,9.0,1.0,-0.46604148374045,True,False,0.0232558139534883,0.1046511627906976,0.063953488372093
mesenchymal_hsc_myofibroblast,NBL1,2,True,True,24.0,0.3333333333333333,-0.259627386898492,5.0,9.0,0.5714285714285714,1.1948887008348423,True,False,0.1162790697674418,0.9069767441860463,0.5116279069767442
mesenchymal_hsc_myofibroblast,NNMT,3,True,True,24.0,0.9583333333333334,0.0251070593546071,5.0,9.0,1.0,0.3736729725194852,True,False,0.3953488372093023,0.5697674418604651,0.4825581395348837
mesenchymal_hsc_myofibroblast,NPC2,2,True,True,24.0,0.9166666666666666,0.3009017924545122,5.0,9.0,0.9285714285714286,0.8090806341975376,True,True,0.8255813953488372,0.7441860465116279,0.7848837209302326
mesenchymal_hsc_myofibroblast,NR2F1,2,True,True,24.0,1.0,-0.2582440390759594,5.0,9.0,1.0,0.0925438773938135,True,False,0.127906976744186,0.3255813953488372,0.2267441860465116
mesenchymal_hsc_myofibroblast,OGN,2,True,True,24.0,0.7083333333333334,0.0762552230446323,5.0,9.0,0.7142857142857143,-0.4764373316802242,True,False,0.5116279069767442,0.0930232558139534,0.3023255813953488
