program_id,paper_id,program_name,cell_lineage,gene_symbol,direction,discovery_dataset,discovery_assay,disease_etiology,source_table,source_page,verified,data_lineage_class,notes
RAM2019_MAC_SIG_B_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene B,macrophage_monocyte,SH3BGRL3,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_B_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene B,macrophage_monocyte,CD52,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_B_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene B,macrophage_monocyte,LAPTM5,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_B_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene B,macrophage_monocyte,CAP1,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_B_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene B,macrophage_monocyte,YBX1,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_B_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene B,macrophage_monocyte,RPS8,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_B_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene B,macrophage_monocyte,UQCRH,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_B_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene B,macrophage_monocyte,RPL5,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_B_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene B,macrophage_monocyte,LAMTOR5,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_B_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene B,macrophage_monocyte,CD53,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
