analysis_set,lineage,program_id,score_method,n_donors,n_stages,stage_min,stage_max,spearman_rho,spearman_bootstrap_ci95_low,spearman_bootstrap_ci95_high,permutation_p_two_sided,standardized_score_slope_per_stage,hc3_se,hc3_ci95_low,hc3_ci95_high,resamples,fdr_bh,positive_fdr_005,dual_score_positive_fdr_005
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,singscore,44,5,0,4,0.16457314087785457,-0.13616175646845152,0.44377142607734593,0.2810718928107189,0.09704421660136639,0.11837508814707567,-0.13497095616690194,0.32905938936963475,10000,0.5325572705887306,False,False
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,standardized_mean,44,5,0,4,0.17734921365653014,-0.1449349106053572,0.46009301684741916,0.25307469253074694,0.1751436757895492,0.12403815106193815,-0.06797110029184955,0.41825845187094796,10000,0.5061493850614939,False,False
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,44,5,0,4,0.4119381206096123,0.10913249102661167,0.6475932586204456,0.0071992800719928,0.40473158164566103,0.12247651388765714,0.16467761442585305,0.644785548865469,10000,0.09809019098090191,False,False
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,44,5,0,4,0.42031114005778386,0.10172683660092284,0.6931555447682927,0.005099490050994901,0.3602866879119907,0.1260858294940793,0.11315846210359529,0.6074149137203861,10000,0.09809019098090191,False,False
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,25,5,0,4,0.31099675135925037,-0.07299110734782947,0.6259219611792426,0.1342865713428657,0.2339486771111449,0.13830870409016047,-0.037136382905569615,0.5050337371278594,10000,0.3222877712228777,False,False
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,25,5,0,4,0.2691090059411048,-0.1481620098204919,0.6150198602593043,0.1810818918108189,0.19658956946938483,0.15300532693467522,-0.10330087132257859,0.49648001026134825,10000,0.4074342565743425,False,False
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,25,5,0,4,0.3275937825626665,-0.11549642644305459,0.6750071488757443,0.11438856114388561,0.22180720349361321,0.15957091253383143,-0.09095178507269641,0.5345661920599228,10000,0.29722742011513137,False,False
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,25,5,0,4,0.08377549083629107,-0.3198599386362255,0.4463710428468676,0.691030896910309,0.06502535236859447,0.12263455397671545,-0.1753383734257678,0.30538907816295674,10000,0.7538518875385188,False,False
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,25,5,0,4,0.2501409702800578,-0.26564043601923404,0.6665106133060597,0.22807719228077192,0.22702354784256543,0.20130713284802834,-0.1675384325395701,0.6215855282247009,10000,0.4829869954181052,False,False
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,25,5,0,4,0.15451045715561232,-0.36377606919888605,0.583217524928091,0.4674532546745325,0.15432042161312276,0.1990778284289069,-0.23587212210753472,0.5445129653337802,10000,0.62327100623271,False,False
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,25,5,0,4,-0.11894539029114912,-0.451578669230563,0.23375890216318643,0.5684431556844316,-0.09568089777363288,0.12446088623323373,-0.339624234790771,0.14826243924350524,10000,0.6787063229160956,False,False
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,25,5,0,4,-0.1612283031188998,-0.5223491451205107,0.255450185633161,0.43645635436456354,-0.17297126179259587,0.1745662415707627,-0.5151210952712908,0.169178571686099,10000,0.62327100623271,False,False
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,25,5,0,4,0.11341304655667707,-0.30568492172741635,0.46769422486559586,0.5844415558444156,0.08858837618405298,0.1508258420981446,-0.20703027432831045,0.3842070266964164,10000,0.6787063229160956,False,False
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,25,5,0,4,-0.16201863793811008,-0.5016936743173434,0.1898242303459228,0.43865613438656137,-0.050070040684917515,0.12656394224010656,-0.2981353674755264,0.19799528610569134,10000,0.62327100623271,False,False
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,25,5,0,4,0.1612283031188998,-0.22364319296858415,0.5155522699171697,0.4497550244975502,0.12308651693249326,0.1495199035098859,-0.1699724939468831,0.41614552781186964,10000,0.62327100623271,False,False
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,25,5,0,4,0.04267808023735583,-0.40412058301468345,0.4804935115530858,0.8366163383661633,0.02202998344076546,0.1805987795188758,-0.3319436244162311,0.376003591297762,10000,0.8366163383661633,False,False
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,29,5,0,4,0.14158267156232557,-0.2268836332774963,0.47152024552624006,0.45615438456154384,0.10492623261214985,0.13154604503971443,-0.15290401566569045,0.36275648088999013,10000,0.62327100623271,False,False
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,29,5,0,4,0.04592668916970599,-0.3176739237476824,0.38983135664524543,0.8087191280871913,-0.0077621306395986855,0.13857831238204316,-0.2793756229084033,0.2638513616292059,10000,0.8318253888896825,False,False
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,29,5,0,4,0.4708747362124801,0.14312557967199274,0.7171338581178164,0.010698930106989302,0.39669889782309764,0.14227973099720664,0.11783062506857261,0.6755671705776227,10000,0.09809019098090191,False,False
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,29,5,0,4,0.4350418248822699,0.05141486193175259,0.7441081185074111,0.0201979802019798,0.3657076386987327,0.14809599824985006,0.07543948212902657,0.6559757952684389,10000,0.10387532675303898,False,False
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,29,5,0,4,0.44412622493781617,0.09327335980616437,0.7145901610736259,0.0174982501749825,0.3672436023256861,0.14144802255973418,0.0900054781086071,0.6444817265427651,10000,0.10387532675303898,False,False
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,29,5,0,4,0.2982711351571015,-0.10792253391510545,0.6334041821613362,0.11448855114488551,0.2431085743064855,0.15240298761521548,-0.05560128141933682,0.5418184300323078,10000,0.29722742011513137,False,False
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,29,5,0,4,0.32098213529596714,-0.059274004395886176,0.637364916106722,0.08769123087691232,0.26527734916141155,0.16076833350713118,-0.049828584512565555,0.5803832828353886,10000,0.28698948286989484,False,False
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,29,5,0,4,0.29625237958920236,-0.08941856233423755,0.6182080375300056,0.11558844115588442,0.22300161067983265,0.16968653485483526,-0.10958399763564447,0.5555872189953097,10000,0.29722742011513137,False,False
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,29,5,0,4,0.11254562291037841,-0.3403901691453404,0.521355188641113,0.5525447455254474,0.08271857350726478,0.1871373261501184,-0.2840705857469673,0.4495077327614968,10000,0.6787063229160956,False,False
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,29,5,0,4,-0.18774426781462228,-0.5819766283892925,0.23060131019728303,0.31786821317868214,-0.10783702765827806,0.16573046325876145,-0.4326687356454505,0.21699468032889435,10000,0.5721627837216279,False,False
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,29,5,0,4,0.3790213578730681,-0.0007747878995360896,0.6876719950778732,0.042695730426957304,0.34748601540612234,0.15762064626925923,0.03854954871837424,0.6564224820938704,10000,0.19213078692130786,False,False
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,29,5,0,4,0.4754169362402532,0.11357408735663242,0.7360353897796161,0.0108989101089891,0.38751757858610625,0.14745440482161692,0.0985069451357371,0.6765282120364754,10000,0.09809019098090191,False,False
