analysis_set,lineage,program_id,score_method,fibrosis_stage_numeric,n_donors,median_score,q25_score,q75_score
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,2,7,0.3176985586050149,0.06529820682975604,0.452989523503072
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,3,5,-0.0033323135696731,-0.1517201894830745,0.3228092018160984
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,4,2,0.08928887756935536,0.08251326913499417,0.09606448600371653
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,0,3,0.6245410685156987,0.6136141870814176,0.6831229024675114
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,1,7,0.6772867724241931,0.6547024152732398,0.6871713557760069
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,2,7,0.6642699560247127,0.6561139119278654,0.701448129037981
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,3,5,0.6428827221639062,0.6268950687555339,0.669228469439886
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,4,2,0.6354170260089922,0.603641102848291,0.6671929491696934
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,0,3,0.0374295414397187,-0.04354295168808216,0.2710987306640047
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,1,7,0.2321412294920618,0.05883445557775075,0.34232216314888514
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,2,7,-0.0039369199937154,-0.07733174175886712,0.14265327362349076
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,3,5,-0.1017108373973513,-0.2963903125120339,0.070211141352983
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,4,2,0.09132156782826681,-0.05458090801646681,0.23722404367300043
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,0,3,0.3210096288122632,0.2573469485868126,0.34753264547381724
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,1,7,0.3102355922658157,0.2846414606674694,0.34324105912356284
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,2,7,0.3657535014903368,0.32447706575338703,0.39516075492085867
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,3,5,0.3235633473286112,0.2966777621596377,0.3789335964506632
