dataset_id,analysis_set,model,lineage,program_id,score_method,histology_axis,n_donors,standardized_beta,hc3_se,hc3_ci95_low,hc3_ci95_high,hc3_p_two_sided,model_r_squared,incremental_r_squared,vif,fdr_within_set_model_lineage_method_axis
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,steatosis,18,0.039748544588637025,0.4949747187139815,-0.9303840773486107,1.0098811665258847,0.9359953246649029,0.08359131813032739,0.0013610399984503863,1.1554577667052146,0.9496233664033582
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,ballooning,18,0.2650182226981987,0.23245496649459046,-0.19058513965866358,0.720621585055061,0.25425124494850526,0.14918413765979022,0.06695385952791322,1.0435539835515637,0.6474555392781108
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,inflammation,18,-0.3497340585167157,0.4416993955758469,-1.2154489658384862,0.5159808488050548,0.4284819536548644,0.2006336749052423,0.11840339677336531,1.0298848765249997,0.7299337991566187
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,fibrosis,18,0.1417943229239441,0.34940302156402403,-0.5430230154310148,0.8266116612789031,0.684875727272864,0.43000552838782746,0.00817084398075929,2.323343875966578,0.8846387008319126
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,steatosis,18,0.09346079167545507,0.4783588394011756,-0.8441053052372288,1.0310268885881388,0.8450970408790577,0.43000552838782746,0.004238285520724361,1.9712886126230542,0.9763316493847906
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,ballooning,18,0.4255491750812067,0.40876930083916907,-0.37562393254918314,1.2267222827115964,0.2978524631385465,0.43000552838782746,0.0665549036547789,2.5762855040656354,0.595704926277093
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,inflammation,18,-0.6502926374019745,0.48645870580745765,-1.6037341807505572,0.30314890594660815,0.18129152715511965,0.43000552838782746,0.2563943430665384,1.6151618824214482,0.94381363840126
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,fibrosis,18,-0.18331653360910166,0.244650114084433,-0.6628219460282058,0.29618887881000244,0.4536759074986513,0.13381018690457613,0.02977859778031433,1.1214426373292743,0.9750391700000737
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,steatosis,18,-0.14706526560660324,0.37126826798809504,-0.8747376994658346,0.580607168252628,0.6920195261941422,0.12266312465267559,0.01863153552841379,1.1554577667052146,0.8752447849965482
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,ballooning,18,-0.08227316199372275,0.20258566451764415,-0.47933376823241924,0.31478744424497374,0.6846577970934508,0.11048427494807578,0.006452685823813975,1.0435539835515637,0.8175677606879196
