lineage,pathway_name,direction,significant_contexts,contexts,median_nes,minimum_absolute_nes
macrophage_monocyte,Protein hydroxylation,negative,1,GSE256398_human::mash_cirrhosis_vs_healthy,-1.7026840760234008,1.7026840760234008
mesenchymal_hsc_myofibroblast,PKA activation in glucagon signalling,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.702313802195802,1.702313802195802
endothelial,Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.7008969302556747,1.7008969302556747
endothelial,LDL clearance,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.6987784600730251,1.6987784600730251
macrophage_monocyte,Metabolism of cofactors,negative,1,GSE256398_human::mash_cirrhosis_vs_healthy,-1.6987311200071702,1.6987311200071702
endothelial,Base Excision Repair,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.6974304277853725,1.6974304277853725
mesenchymal_hsc_myofibroblast,Developmental Cell Lineages of the Exocrine Pancreas,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.6962913769485748,1.6962913769485748
endothelial,Kinesins,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.6942725393256304,1.6942725393256304
macrophage_monocyte,SLC-mediated transport of organic anions,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.694089156054837,1.694089156054837
macrophage_monocyte,Regulation of APC/C activators between G1/S and early anaphase,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.6934380279190944,1.6934380279190944
endothelial,Amplification and propagation of coagulation cascade,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.6928208043209054,1.6928208043209054
endothelial,tRNA processing,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.692176336451241,1.692176336451241
mesenchymal_hsc_myofibroblast,PKA activation,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.6912084104309435,1.6912084104309435
mesenchymal_hsc_myofibroblast,G beta:gamma signalling through CDC42,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.690450798893341,1.690450798893341
endothelial,Formation of WDR5-containing histone-modifying complexes,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.6897255977571701,1.6897255977571701
mesenchymal_hsc_myofibroblast,Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.6892205700596856,1.6892205700596856
endothelial,RNA Polymerase II Pre-transcription Events,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.6890562748693447,1.6890562748693447
macrophage_monocyte,Hh mutants abrogate ligand secretion,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.6884161549756063,1.6884161549756063
mesenchymal_hsc_myofibroblast,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.686299556337429,1.686299556337429
macrophage_monocyte,Vpu mediated degradation of CD4,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.6858380603274838,1.6858380603274838
mesenchymal_hsc_myofibroblast,Downregulation of SMAD2/3:SMAD4 transcriptional activity,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.6855798854166357,1.6855798854166357
mesenchymal_hsc_myofibroblast,Assembly of the 9+2 motile cilia,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.6844918680443401,1.6844918680443401
mesenchymal_hsc_myofibroblast,Transcriptional regulation of multiciliogenesis,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.6844918680443401,1.6844918680443401
endothelial,CHD1 and CHD2 subfamily,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.6809193954799215,1.6809193954799215
mesenchymal_hsc_myofibroblast,RAC2 GTPase cycle,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.6804038124297456,1.6804038124297456
macrophage_monocyte,Defective B3GALT6 causes EDSP2 and SEMDJL1,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.6778384386485081,1.6778384386485081
mesenchymal_hsc_myofibroblast,RAC3 GTPase cycle,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.6776866815732239,1.6776866815732239
endothelial,Nuclear Pore Complex (NPC) Disassembly,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.6772416563254184,1.6772416563254184
mesenchymal_hsc_myofibroblast,Metabolism of nitric oxide: NOS3 activation and regulation,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.67660091863868,1.67660091863868
mesenchymal_hsc_myofibroblast,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.6746633832628248,1.6746633832628248
mesenchymal_hsc_myofibroblast,CDC42 GTPase cycle,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.6741944187953781,1.6741944187953781
